,person,sample,fs,start_time,sim_hr,sim_offset,mse,cross_corr,eyeballed_match
0,1,1,500,2.6,65.5,14.03,0.026077662279926587,0.4515295323371788,2
1,1,4,500,3.0,74.5,0.33,0.019558791937918527,0.6275496498699086,3
2,1,15,500,2.3,76.0,17.81,0.02013093251248821,0.6223672577836616,3
3,2,7,500,0.8,79.0,10.95,0.01824417694753939,0.31536865537757947,1
4,3,5,500,0.1,69.0,0.34,0.049127883043521565,0.28970632768928,2
5,10,1,500,0.7,84.0,1.02,0.02622749187795734,0.5156916175394509,2
6,1,5,500,0.8,81.0,4.78,0.05359170652918011,0.4295645778030972,3
7,12,1,500,0.8,89.0,0.34,0.1363603348183499,0.21442832882260357,1
8,24,4,500,9.6,64.0,0.46,0.05064384586182717,0.4559429135206403,3
9,25,5,500,5.2,69.0,0.36,0.06056809417722741,0.5500154769855387,4
10,26,4,500,2.6,71.0,0.34,0.02946300820966947,0.37635370046515726,3
11,28,5,500,6.7,79.5,0.29,0.027805879167133885,0.4711644506256461,3
12,31,1,500,2.0,90.0,0.3,0.08126975734530388,0.38723072330995123,2
13,42,4,500,0.7,86.0,0.34,0.05106871658767066,0.22367496081447183,2
14,46,1,500,2.3,78.0,1.01,0.03996589008260053,0.25483753808878934,3
15,47,1,500,5.7,79.0,1.83,0.03248707461309673,0.32494725423902565,3
16,52,4,500,1.4,87.25,1.08,0.02264363527354765,0.46882366495875505,3
17,53,4,500,9.5,90.0,0.84,0.03473158075120894,0.4640220043953321,2
